dataset,lambda_max_stability,loglik_max_stability,stability_max_stability,lambda_max_loglik,loglik_max_loglik,stability_max_loglik,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
nursery-classspec_prior,0.05711586478126432,-0.42504918986603474,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
optdigits-class1,0.05871766390733255,-0.19073318078846677,0.9973213502641278,6.03643850607587e-4,-0.04738120530357435,0.4677771075088451,0.972354639875886,0.04204468316354472,0.06599716119053953,NA,0,NA,0.9240213523131673,NA,0.6836298932384341,NA,0.012277580071174377,0.29775558983550776,0.0646792861206845,0.00498220640569395,0.07041495777752961,0.0026690391459074734,0.05159834406899398,0.0014471780028943561,0.009320795012256855,0.9268609503425742,0.013154383887874155,NA,0.011743772241992856,NA,0.006583629893238463,NA,0.01103202846975089,0.0051601423487544484,0.46774193548387094,0.4740515278328057,0.7766728914161436,0.8352556368548754,0.5283207563022656,0.5942527752911598,0.12197336506295017
optdigits-class3,0.07531420165974372,-0.24432972306322345,0.9965082206061164,4.973895958790063e-4,-0.03497696136024295,0.563561117764599,0.9713475395982082,0.0351361752885871,0.05850300911101539,NA,0,NA,0.8670818505338078,NA,0.65355871886121,NA,0.007829181494661922,0.30579644722581084,0.07582686642708354,0.004092526690391459,0.06384750012439021,0.0030249110320284696,0.05492083077525528,7.751937984496124e-4,0.0051430515233154344,0.945341086105799,0.006615841473724182,NA,0.006939501779359425,NA,0.003558718861209953,NA,0.01103202846975089,0.0051601423487544484,0.46774193548387094,0.474610785765024,0.7762484866030663,0.8340882073341656,0.5354894425739322,0.58242495393412,0.11451091468293359
optdigits-class4,0.0595353313081437,-0.17767491395701945,0.9983916152307812,3.330600343624589e-4,-0.01763062757629042,0.5046343305980991,0.9511867833665597,0.060922169153785205,0.038328952265172,NA,0,NA,0.945373665480427,NA,0.7249110320284697,NA,0.004448398576512456,0.2798038130447541,0.06069232480442165,0.0017793594306049821,0.04214865852550828,3.5587188612099647e-4,0.018862888231975364,0.001937984496124031,0.015353224453101682,0.8788356277149478,0.0020989693165787138,NA,0.001779359430605032,NA,0.001245551601423478,NA,0.01103202846975089,0.0051601423487544484,0.46774193548387094,0.4723707484083999,0.7779454762578366,0.8375676957754543,0.5262057497876391,0.6169264900734354,0.1476187904013619
optdigits-class7,0.11403996019700328,-0.20787253400640412,1,3.065395295056527e-4,-0.01278892209379508,0.5819293286403004,0.9515579526542766,0.07297418885148506,0.031219343192349956,NA,0,NA,0.5332740213523132,NA,0.3334519572953737,NA,0.006405693950177936,0.2730430344424935,0.06462005652013622,0.002491103202846975,0.04985318283688428,0,0,0.002325581395348837,0.0178773504024175,0.8685275009181748,8.571968133266328e-4,NA,8.89679715302516e-4,NA,1.77935943060481e-4,NA,0.01103202846975089,0.0051601423487544484,0.46774193548387094,0.4712477162809328,0.778793340610577,0.8373574279943684,0.5301388311116618,0.590797065512037,0.1402695773889658
optdigits-class9,0.07636298261282246,-0.27009656317487235,0.9710953207924992,5.479472336900287e-4,-0.06217844600941901,0.5232442563678519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
page-blocks-class1,0.05633142670601355,-0.25161301306450234,0.893643165778885,0.00110928986489522,-0.16352521047612012,0.25828353414252403,0.956540868577677,0.05997264887455988,0.19926149271399185,NA,3.9920101462442374e-5,NA,0.9901315789473685,NA,0.9766081871345029,NA,0.06432748538011696,0.16668464093602317,0.13437487771941495,0.03289473684210526,0.1783773750012642,0.03782894736842105,0.1907998191601447,0.0022483858590669737,0.018460035985798196,0.9306222494207619,0.04652568505355692,NA,0.046052631578947345,NA,0.038925438596491224,NA,0.001827485380116959,3.654970760233918e-4,0.2,0.4757942880021085,0.7753487620679712,0.8278020418132396,0.4264641745439113,0.8848649796409839,0.1759709292919852
penbased-class0,0.02389892566231049,-0.10417923965672052,1,2.27697025538168e-5,-0.05875294832332983,0.0126832232095172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
penbased-class1,0.05404216420705915,-0.2265332508149184,1,1.0715933998226712e-4,-0.09536243880799916,0.1926374859708192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
penbased-class2,0.02389892566231049,-0.11855075111806827,1,8.354528058382871e-5,-0.02004776679758588,0.18191878444402476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
